run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_cbr_split_soft_n10_008,CBR,planning,moderator,,75556136b5ed,gpt-4o-mini,2026-06-11T21:50:01.686556+00:00,2026-06-11T21:50:04.470097+00:00,2.783541,877,184,1061,0.00013155,0.0001104,0.00024195,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_1_cbr,23511be70127,gpt-4o-mini,2026-06-11T21:50:04.475754+00:00,2026-06-11T21:50:10.713543+00:00,6.237789,17735,423,18158,0.00266025,0.0002538,0.00291405,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_1_cbr,50cf0f383d5a,gpt-4o-mini,2026-06-11T21:50:10.714275+00:00,2026-06-11T21:50:15.433151+00:00,4.718876,1140,287,1427,0.000171,0.0001722,0.0003432,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_2_cbr,7eab0e94c9dd,gpt-4o-mini,2026-06-11T21:50:15.442311+00:00,2026-06-11T21:50:23.197686+00:00,7.755375,17738,422,18160,0.0026607,0.0002532,0.0029139,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_2_cbr,0ab2718cb803,gpt-4o-mini,2026-06-11T21:50:23.198274+00:00,2026-06-11T21:50:27.909336+00:00,4.711062,1149,289,1438,0.00017235,0.0001734,0.00034575,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_3_cbr,5ae9717b370b,gpt-4o-mini,2026-06-11T21:50:27.915859+00:00,2026-06-11T21:50:42.659733+00:00,14.743874,17741,697,18438,0.00266115,0.0004182,0.00307935,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_3_cbr,72fbf2a0c036,gpt-4o-mini,2026-06-11T21:50:42.661475+00:00,2026-06-11T21:50:49.349607+00:00,6.688132,1463,484,1947,0.00021945,0.0002904,0.00050985,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_4_cbr,c338c3fdf823,gpt-4o-mini,2026-06-11T21:50:49.359818+00:00,2026-06-11T21:50:53.817261+00:00,4.457443,17734,331,18065,0.0026601,0.0001986,0.0028587,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_4_cbr,3a53c9b81bdc,gpt-4o-mini,2026-06-11T21:50:53.817721+00:00,2026-06-11T21:50:57.091853+00:00,3.274132,1041,222,1263,0.00015615,0.0001332,0.00028935,true,
costed_cbr_split_soft_n10_008,CBR,individual_inspection,reviewer,reviewer_5_cbr,54ec005485c9,gpt-4o-mini,2026-06-11T21:50:57.101304+00:00,2026-06-11T21:51:08.331323+00:00,11.230019,17738,925,18663,0.0026607,0.000555,0.0032157,true,
