run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_cbr_split_soft_n10_003,CBR,planning,moderator,,fcc7b0adb370,gpt-4o-mini,2026-06-11T21:40:13.270500+00:00,2026-06-11T21:40:16.090241+00:00,2.819741,877,188,1065,0.00013155,0.0001128,0.00024435,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_1_cbr,8e7bb3e82d0a,gpt-4o-mini,2026-06-11T21:40:16.098176+00:00,2026-06-11T21:40:22.225305+00:00,6.127129,17735,530,18265,0.00266025,0.000318,0.00297825,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_1_cbr,7cab1f5363a4,gpt-4o-mini,2026-06-11T21:40:22.226221+00:00,2026-06-11T21:40:25.700118+00:00,3.473897,1249,356,1605,0.00018735,0.0002136,0.00040095,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_2_cbr,089262bd7513,gpt-4o-mini,2026-06-11T21:40:25.707041+00:00,2026-06-11T21:40:31.848405+00:00,6.141364,17738,538,18276,0.0026607,0.0003228,0.0029835,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_2_cbr,5f81b74107b6,gpt-4o-mini,2026-06-11T21:40:31.849062+00:00,2026-06-11T21:40:35.742186+00:00,3.893124,1283,380,1663,0.00019245,0.000228,0.00042045,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_3_cbr,f4a0c93a3d23,gpt-4o-mini,2026-06-11T21:40:35.748568+00:00,2026-06-11T21:40:42.290219+00:00,6.541651,17741,522,18263,0.00266115,0.0003132,0.00297435,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_3_cbr,bb2ca4197843,gpt-4o-mini,2026-06-11T21:40:42.290839+00:00,2026-06-11T21:40:47.923583+00:00,5.632744,1266,364,1630,0.0001899,0.0002184,0.0004083,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_4_cbr,783f07f6f133,gpt-4o-mini,2026-06-11T21:40:47.930756+00:00,2026-06-11T21:40:51.813743+00:00,3.882987,17734,337,18071,0.0026601,0.0002022,0.0028623,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_4_cbr,b18d70567dce,gpt-4o-mini,2026-06-11T21:40:51.814285+00:00,2026-06-11T21:40:54.577777+00:00,2.763492,1049,228,1277,0.00015735,0.0001368,0.00029415,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_5_cbr,23166259e490,gpt-4o-mini,2026-06-11T21:40:54.588504+00:00,2026-06-11T21:41:04.929660+00:00,10.341156,17738,926,18664,0.0026607,0.0005556,0.0032163,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_5_cbr,92e1946b3a44,gpt-4o-mini,2026-06-11T21:41:04.931278+00:00,2026-06-11T21:41:13.625011+00:00,8.693733,1723,666,2389,0.00025845,0.0003996,0.00065805,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_6_cbr,5f0ea1f09de0,gpt-4o-mini,2026-06-11T21:41:13.637506+00:00,2026-06-11T21:41:19.050126+00:00,5.41262,17747,425,18172,0.00266205,0.000255,0.00291705,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_6_cbr,cb1521ae821b,gpt-4o-mini,2026-06-11T21:41:19.050400+00:00,2026-06-11T21:41:22.240118+00:00,3.189718,1153,287,1440,0.00017295,0.0001722,0.00034515,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_7_cbr,159524b604ca,gpt-4o-mini,2026-06-11T21:41:22.246699+00:00,2026-06-11T21:41:28.987797+00:00,6.741098,17747,459,18206,0.00266205,0.0002754,0.00293745,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_7_cbr,b5b490a9155c,gpt-4o-mini,2026-06-11T21:41:28.988484+00:00,2026-06-11T21:41:33.287466+00:00,4.298982,1181,328,1509,0.00017715,0.0001968,0.00037395,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_8_cbr,b55e6c409914,gpt-4o-mini,2026-06-11T21:41:33.299413+00:00,2026-06-11T21:41:39.428823+00:00,6.12941,17740,513,18253,0.002661,0.0003078,0.0029688,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_8_cbr,67d462f5e20e,gpt-4o-mini,2026-06-11T21:41:39.429620+00:00,2026-06-11T21:41:43.424209+00:00,3.994589,1235,345,1580,0.00018525,0.000207,0.00039225,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_9_cbr,79fab7b059c8,gpt-4o-mini,2026-06-11T21:41:43.433040+00:00,2026-06-11T21:41:47.117567+00:00,3.684527,17740,323,18063,0.002661,0.0001938,0.0028548,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_9_cbr,19fe3d652477,gpt-4o-mini,2026-06-11T21:41:47.118116+00:00,2026-06-11T21:41:49.845744+00:00,2.727628,1030,214,1244,0.0001545,0.0001284,0.0002829,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_10_cbr,dc5957b315ec,gpt-4o-mini,2026-06-11T21:41:49.852396+00:00,2026-06-11T21:41:57.466629+00:00,7.614233,17735,642,18377,0.00266025,0.0003852,0.00304545,true,
costed_cbr_split_soft_n10_003,CBR,individual_inspection,reviewer,reviewer_10_cbr,6dd54375ef28,gpt-4o-mini,2026-06-11T21:41:57.467563+00:00,2026-06-11T21:42:02.878926+00:00,5.411363,1377,457,1834,0.00020655,0.0002742,0.00048075,true,
costed_cbr_split_soft_n10_003,CBR,inspection_meeting,scribe,,56b8c6724608,gpt-4o-mini,2026-06-11T21:42:02.906402+00:00,2026-06-11T21:42:25.303477+00:00,22.397075,7170,2086,9256,0.0010755,0.0012516,0.0023271,true,
