run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_pbr_split_soft_n10_007,"PBR_DESIGNER,PBR_TESTER,PBR_USER",planning,moderator,,1e0f711e3ed3,gpt-4o-mini,2026-06-14T19:24:44.172085+00:00,2026-06-14T19:24:46.722237+00:00,2.550152,862,160,1022,0.0001293,9.6e-05,0.0002253,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_1_pbr_tester,30dbf71847da,gpt-4o-mini,2026-06-14T19:24:46.729501+00:00,2026-06-14T19:24:58.478097+00:00,11.748596,16516,528,17044,0.0024774,0.0003168,0.0027942,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_1_pbr_tester,51a199bb6463,gpt-4o-mini,2026-06-14T19:24:58.479056+00:00,2026-06-14T19:25:05.246672+00:00,6.767616,1269,372,1641,0.00019035,0.0002232,0.00041355,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_2_pbr_tester,71cbc4c7945c,gpt-4o-mini,2026-06-14T19:25:05.251852+00:00,2026-06-14T19:25:14.967069+00:00,9.715217,16525,519,17044,0.00247875,0.0003114,0.00279015,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_2_pbr_tester,c862a4bcfb21,gpt-4o-mini,2026-06-14T19:25:14.968105+00:00,2026-06-14T19:25:21.005221+00:00,6.037116,1262,353,1615,0.0001893,0.0002118,0.0004011,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_3_pbr_tester,319866794e41,gpt-4o-mini,2026-06-14T19:25:21.009307+00:00,2026-06-14T19:25:30.738247+00:00,9.72894,16521,527,17048,0.00247815,0.0003162,0.00279435,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_3_pbr_tester,c6a4ca707410,gpt-4o-mini,2026-06-14T19:25:30.739244+00:00,2026-06-14T19:25:39.128930+00:00,8.389686,1276,360,1636,0.0001914,0.000216,0.0004074,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_4_pbr_tester,af424b7d0123,gpt-4o-mini,2026-06-14T19:25:39.132761+00:00,2026-06-14T19:25:47.730280+00:00,8.597519,16517,516,17033,0.00247755,0.0003096,0.00278715,true,
costed_pbr_split_soft_n10_007,PBR_TESTER,individual_inspection,reviewer,reviewer_4_pbr_tester,acdcfb3dd65f,gpt-4o-mini,2026-06-14T19:25:47.731258+00:00,2026-06-14T19:25:52.645492+00:00,4.914234,1264,352,1616,0.0001896,0.0002112,0.0004008,true,
costed_pbr_split_soft_n10_007,PBR_USER,individual_inspection,reviewer,reviewer_5_pbr_user,71a6df00748b,gpt-4o-mini,2026-06-14T19:25:52.651121+00:00,2026-06-14T19:25:59.040752+00:00,6.389631,16476,451,16927,0.0024714,0.0002706,0.002742,true,
costed_pbr_split_soft_n10_007,PBR_USER,individual_inspection,reviewer,reviewer_5_pbr_user,82d64f1bc31e,gpt-4o-mini,2026-06-14T19:25:59.041787+00:00,2026-06-14T19:26:03.190466+00:00,4.148679,1175,306,1481,0.00017625,0.0001836,0.00035985,true,
