run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_cbr_split_soft_n10_004,CBR,planning,moderator,,6d62a5ba0f9a,gpt-4o-mini,2026-06-11T22:29:45.617823+00:00,2026-06-11T22:29:48.222858+00:00,2.605035,877,179,1056,0.00013155,0.0001074,0.00023895,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_1_cbr,97bfa20c3695,gpt-4o-mini,2026-06-11T22:29:48.231756+00:00,2026-06-11T22:29:56.761539+00:00,8.529783,17735,573,18308,0.00266025,0.0003438,0.00300405,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_1_cbr,ebde09c5bae3,gpt-4o-mini,2026-06-11T22:29:56.761868+00:00,2026-06-11T22:30:01.251691+00:00,4.489823,1293,388,1681,0.00019395,0.0002328,0.00042675,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_2_cbr,4b42d8c5070c,gpt-4o-mini,2026-06-11T22:30:01.257646+00:00,2026-06-11T22:30:20.111625+00:00,18.853979,17738,520,18258,0.0026607,0.000312,0.0029727,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_2_cbr,67d02ad58b1e,gpt-4o-mini,2026-06-11T22:30:20.112283+00:00,2026-06-11T22:30:23.695955+00:00,3.583672,1260,367,1627,0.000189,0.0002202,0.0004092,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_3_cbr,9b88cdce904d,gpt-4o-mini,2026-06-11T22:30:23.702469+00:00,2026-06-11T22:30:31.481172+00:00,7.778703,17741,414,18155,0.00266115,0.0002484,0.00290955,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_3_cbr,3d8d314030b6,gpt-4o-mini,2026-06-11T22:30:31.482127+00:00,2026-06-11T22:30:35.470544+00:00,3.988417,1146,283,1429,0.0001719,0.0001698,0.0003417,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_4_cbr,6207f65fc5e2,gpt-4o-mini,2026-06-11T22:30:35.476750+00:00,2026-06-11T22:30:41.409606+00:00,5.932856,17734,328,18062,0.0026601,0.0001968,0.0028569,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_4_cbr,d327f99e8615,gpt-4o-mini,2026-06-11T22:30:41.410159+00:00,2026-06-11T22:30:43.765165+00:00,2.355006,1042,224,1266,0.0001563,0.0001344,0.0002907,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_5_cbr,2ca71c0415c4,gpt-4o-mini,2026-06-11T22:30:43.772895+00:00,2026-06-11T22:31:16.340001+00:00,32.567106,17738,960,18698,0.0026607,0.000576,0.0032367,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_5_cbr,070537b32d8d,gpt-4o-mini,2026-06-11T22:31:16.341160+00:00,2026-06-11T22:31:23.723204+00:00,7.382044,1750,691,2441,0.0002625,0.0004146,0.0006771,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_6_cbr,f24d06433ba4,gpt-4o-mini,2026-06-11T22:31:23.730262+00:00,2026-06-11T22:31:29.658535+00:00,5.928273,17747,431,18178,0.00266205,0.0002586,0.00292065,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_6_cbr,9c0d88548262,gpt-4o-mini,2026-06-11T22:31:29.659298+00:00,2026-06-11T22:31:33.137263+00:00,3.477965,1144,286,1430,0.0001716,0.0001716,0.0003432,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_7_cbr,4c2233181b69,gpt-4o-mini,2026-06-11T22:31:33.145586+00:00,2026-06-11T22:31:39.076045+00:00,5.930459,17747,432,18179,0.00266205,0.0002592,0.00292125,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_7_cbr,d7a2b97489ca,gpt-4o-mini,2026-06-11T22:31:39.076612+00:00,2026-06-11T22:31:41.839705+00:00,2.763093,1159,294,1453,0.00017385,0.0001764,0.00035025,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_8_cbr,eb36186445ff,gpt-4o-mini,2026-06-11T22:31:41.845272+00:00,2026-06-11T22:31:46.858058+00:00,5.012786,17740,318,18058,0.002661,0.0001908,0.0028518,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_8_cbr,e25ae51adde9,gpt-4o-mini,2026-06-11T22:31:46.858391+00:00,2026-06-11T22:31:49.009548+00:00,2.151157,1021,204,1225,0.00015315,0.0001224,0.00027555,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_9_cbr,9df8b726f980,gpt-4o-mini,2026-06-11T22:31:49.020009+00:00,2026-06-11T22:31:55.360970+00:00,6.340961,17740,328,18068,0.002661,0.0001968,0.0028578,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_9_cbr,cd788d615cdf,gpt-4o-mini,2026-06-11T22:31:55.361495+00:00,2026-06-11T22:31:57.823613+00:00,2.462118,1042,224,1266,0.0001563,0.0001344,0.0002907,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_10_cbr,8d659b12fa92,gpt-4o-mini,2026-06-11T22:31:57.834094+00:00,2026-06-11T22:32:17.780450+00:00,19.946356,17735,734,18469,0.00266025,0.0004404,0.00310065,true,
costed_cbr_split_soft_n10_004,CBR,individual_inspection,reviewer,reviewer_10_cbr,741d6b2b20f3,gpt-4o-mini,2026-06-11T22:32:17.781492+00:00,2026-06-11T22:32:25.259977+00:00,7.478485,1479,526,2005,0.00022185,0.0003156,0.00053745,true,
costed_cbr_split_soft_n10_004,CBR,inspection_meeting,scribe,,8938004b7027,gpt-4o-mini,2026-06-11T22:32:25.280073+00:00,2026-06-11T22:32:36.424520+00:00,11.144447,6972,1266,8238,0.0010458,0.0007596,0.0018054,true,
costed_cbr_split_soft_n10_004,CBR,followup,moderator,,9a8005aa1842,gpt-4o-mini,2026-06-11T22:32:36.443681+00:00,2026-06-11T22:32:38.061544+00:00,1.617863,700,92,792,0.000105,5.52e-05,0.0001602,true,
