metric,source,experiment,technique,all,A,B,C,A_plus_B,notes
effectiveness,Thelin et al. 2004 (Table 4, p.8),original,UBR,0.31,0.43,0.31,0.20,n/a,"detection rate (share of faults found) per average single reviewer; A+B not tabulated (box plot/significance only)"
effectiveness,Thelin et al. 2004 (Table 4, p.8),original,CBR,0.25,0.24,0.24,0.30,n/a,"detection rate per average single reviewer; A+B not tabulated"
effectiveness,Thelin et al. 2004 (Table 4, p.8),replication,UBR,0.29,0.37,0.30,0.20,n/a,"detection rate per average single reviewer; A+B not tabulated"
effectiveness,Thelin et al. 2004 (Table 4, p.8),replication,CBR,0.20,0.20,0.20,0.20,n/a,"detection rate per average single reviewer; A+B not tabulated"
efficiency,Thelin et al. 2004 (Table 4, p.8),original,UBR,5.6,2.7,1.8,0.9,n/a,"faults per hour per average single reviewer; A+B not tabulated (box plot/significance only)"
efficiency,Thelin et al. 2004 (Table 4, p.8),original,CBR,4.1,1.3,1.4,1.4,n/a,"faults per hour per average single reviewer; A+B not tabulated"
efficiency,Thelin et al. 2004 (Table 4, p.8),replication,UBR,4.8,2.1,1.8,0.9,n/a,"faults per hour per average single reviewer; A+B not tabulated"
efficiency,Thelin et al. 2004 (Table 4, p.8),replication,CBR,3.4,1.1,1.4,0.9,n/a,"faults per hour per average single reviewer; A+B not tabulated"
